release_year,author_name,book_shortener,book_title,poem_title,excerpt,file_name,link_url,low_res_file_name,low_res_link_url,folder_link,file_type,file_type_helper,book_release_catalog,graphic_made_status,approved_for_quote_image,used_status,notes,alternate_filename,source_row_number,source_row_numbers,excerpt_id,excerpt_ids,source_row_count,release_year_values,any_graphic_made_status_y,any_approved_for_quote_image_y,missing_core_fields,asset_key
2015,Neil Hilborn,,Our Numbered Days,Here and Away,"“See, we are wrong when we say I think, therefore I am. The more we say it, the more it sounds like, “I think, therefore I will be.” You cannot think yourself into a full table. You cannot think and make walls and a roof appear around you. I have thought and thought myself into corners made of words, nightmares, and what has it gotten me but more thoughts, a currency that only buys more currency.”",Neil - OND - Quote Image - I am not saying.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCbGNBaktCWU83UlU/view?usp=drivesdk,,,,QI,,Spring 2015,,,,,,27946,"27941, 27946",19823,"19821, 19823",2,2015,,,book_shortener,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCbGNBaktCWU83UlU/view?usp=drivesdk
2015,Neil Hilborn,OND,Our Numbered Days,Here and Away,"“Whatever you are feeling right now, there is a mathematical certainty that someone is feeling that exact thing. This is not to say you aren’t special. This is to say thank god you aren’t special.”",Neil - OND - Quote Image - I too have kissed.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCT2ZIUjFEVWgyRWs/view?usp=drivesdk,,,,QI,QI,Spring 2015,,,FALSE,,,27961,"27940, 27961",19819,"19819, 19820",2,2015,,,,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCT2ZIUjFEVWgyRWs/view?usp=drivesdk
2015,Neil Hilborn,,Our Numbered Days,Here and Away,"“if you want to continue existing, do something. Learn to make clouds with only your breath. Build a house, even if every wall leans to the left. Love it anyway, just like a season. Just like a child. Love how you hate yourself sometimes, because goddamn, at least there’s still something to hate.”",Neil - OND - Quote Image - I've been burned.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCQ3FXbkZ6ek9pX1E/view?usp=drivesdk,,,,QI,,Spring 2015,,,,,,27947,"27937, 27947",19810,"19810, 19817",2,2015,,,book_shortener,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCQ3FXbkZ6ek9pX1E/view?usp=drivesdk
2015,Neil Hilborn,,Our Numbered Days,Here and Away,"“Whatever you are feeling right now, there is a mathematical certainty that someone is feeling that exact thing. This is not to say you aren’t special. This is to say thank god you aren’t special.”",Neil - OND - Quote Image - If you want.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCR21FdzFuQmkxaFE/view?usp=drivesdk,,,,QI,,Spring 2015,,,,,,27943,"27943, 27948",19819,"19809, 19819",2,2015,,,book_shortener,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCR21FdzFuQmkxaFE/view?usp=drivesdk
2015,Neil Hilborn,OND,Our Numbered Days,Here and Away,"“Whatever you are feeling right now, there is a mathematical certainty that someone
is feeling that exact thing. This is not to say you aren’t special. This is to say
thank god you aren’t special.”",Neil - OND - Quote Image - It's so easy.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCNXBDbnh0d2p0cFk/view?usp=drivesdk,,,,QI,,Spring 2015,,,,,,27954,"27945, 27954",19819,"19812, 19819",2,2015,,,,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCNXBDbnh0d2p0cFk/view?usp=drivesdk
2015,Neil Hilborn,OND,Our Numbered Days,Here and Away,“There are days when I cannot find the sun even though it’s right outside my goddamn window.”,Neil - OND - Quote Image - Love how you hate.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCazJmaEJ3OFFMYTg/view?usp=drivesdk,,,,QI,,Spring 2015,,,,,,27955,"27944, 27955",19822,"19816, 19822",2,2015,,,,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCazJmaEJ3OFFMYTg/view?usp=drivesdk
2015,Neil Hilborn,,Our Numbered Days,Here and Away,“It’s so easy to think and keep thinking until you are the last person left on earth. Until the entire world is no larger than the space between your bed and the light switch”,Neil - OND - Quote Image - See we are wrong.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCeG42Q2tnYWVqRzA/view?usp=drivesdk,,,,QI,,Spring 2015,,,,,,27949,"27942, 27949",19824,"19822, 19824",2,2015,,,book_shortener,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCeG42Q2tnYWVqRzA/view?usp=drivesdk
2015,Neil Hilborn,OND,Our Numbered Days,Here and Away,“I’ve been burned so much I’m not me anymore. I’m a stupid puppet version of me. I’ve got strings that lead to nowhere. Nothing is pulling on me.”,Neil - OND - Quote Image - There are days.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCYVVjNDNHNTMxaHM/view?usp=drivesdk,,,,QI,,Spring 2015,,,,,,27956,"27938, 27956",19821,"19818, 19821",2,2015,,,,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCYVVjNDNHNTMxaHM/view?usp=drivesdk
2015,Neil Hilborn,OND,Our Numbered Days,Here and Away,"“I’ve been hearing that the world is ending. I’ve heard it so much these days that I can either completely ignore it or never leave my house again. That is, if I actually left my house for things that don’t directly enable me to keep my house.”",Neil - OND - Quote Image - Whatever you are feeling.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCWGVCNlNvd08yNTg/view?usp=drivesdk,,,,QI,,Spring 2015,,,,,,27957,"27939, 27957",19817,"19817, 19819",2,2015,,,,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCWGVCNlNvd08yNTg/view?usp=drivesdk
2015,Neil Hilborn,OND,Our Numbered Days,Joey,“we all lived through who we were to become who we are.”,Neil - OND - Quote Image - We all lived through.png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCZ0pIN2p3WDVndjQ/view?usp=drivesdk,,,,QI,QI,Spring 2015,,,TRUE,,,28032,28032,19876,19876,1,2015,,,,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCZ0pIN2p3WDVndjQ/view?usp=drivesdk
