release_year,author_name,book_shortener,book_title,poem_title,excerpt,file_name,link_url,low_res_file_name,low_res_link_url,folder_link,file_type,file_type_helper,book_release_catalog,graphic_made_status,approved_for_quote_image,used_status,notes,alternate_filename,source_row_number,source_row_numbers,excerpt_id,excerpt_ids,source_row_count,release_year_values,any_graphic_made_status_y,any_approved_for_quote_image_y,missing_core_fields,asset_key
,Neil Hilborn,,,The Future,"“The future is just like gravity: everyone is slowly drifting toward everyone else, we are all going to be part of each other one day”",Neil - The Future - Quote Image - I saw the future.png,https://drive.google.com/a/buttonpoetry.com/file/d/17P0yJH2MisG1wA6n62vac_uFT3ze9sLh/view?usp=drivesdk,,,,QI,,,,,,,,28812,28812,20271,20271,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/17P0yJH2MisG1wA6n62vac_uFT3ze9sLh/view?usp=drivesdk
,Neil Hilborn,,,The Future,"“When I’m up I don’t kill myself because, holy shit, there’s so much left to do. When I’m down I don’t kill myself because then the sadness would be over, and the sadness is my old paint under the new.”",Neil - The Future - Quote Image - I think a lot about.png,https://drive.google.com/a/buttonpoetry.com/file/d/1pYlAHb-ojJJoC5pJKQ8PUtc6MLm0V4Dm/view?usp=drivesdk,,,,QI,,,,,,,,28813,28813,20283,20283,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1pYlAHb-ojJJoC5pJKQ8PUtc6MLm0V4Dm/view?usp=drivesdk
,Neil Hilborn,,,The Future,"“The future has been at war, but it’s coming home so soon”",Neil - The Future - Quote Image - The future is.png,https://drive.google.com/a/buttonpoetry.com/file/d/13lTN8nejsoQyZsFZSlqaHXgR97kyMGYt/view?usp=drivesdk,,,,QI,,,,,,,,28795,28795,20278,20278,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/13lTN8nejsoQyZsFZSlqaHXgR97kyMGYt/view?usp=drivesdk
,Neil Hilborn,,,The Future,"“I know tomorrow is going to come because I’ve seen it. Sunrise is going to come, all you have to do is wake up.”",Neil - The Future - Quote Image - When I'm up.png,https://drive.google.com/a/buttonpoetry.com/file/d/1_0aniB1fLZ2JAR4xLaMyHPgjQme1rSFe/view?usp=drivesdk,,,,QI,,,,,,,,28787,28787,20280,20280,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1_0aniB1fLZ2JAR4xLaMyHPgjQme1rSFe/view?usp=drivesdk
,Neil Hilborn,,,Ugh Forgiveness,"""It’s easier to just stay mad than forgive
her, in the same way that when food
burns my hands I throw it in my mouth.""",Neil - The Future - Quote Image - There should be.png,https://drive.google.com/a/buttonpoetry.com/file/d/1wX1ItB_dTUqGNUSWFV67S5bAE1ESYvLW/view?usp=drivesdk,,,,QI,,,,,,,,28890,28890,20338,20338,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1wX1ItB_dTUqGNUSWFV67S5bAE1ESYvLW/view?usp=drivesdk
,Neil Hilborn,,,Ugh Forgiveness,"""If I don’t stop
to breathe I can never truly know
if I’m choking.""",Neil - The Future - Quote Image - What's the word.png,https://drive.google.com/a/buttonpoetry.com/file/d/10OiTGyizppfaWCfhmgqIOxPoXOQV3imA/view?usp=drivesdk,,,,QI,,,,,,,,28891,28891,20337,20337,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/10OiTGyizppfaWCfhmgqIOxPoXOQV3imA/view?usp=drivesdk
,Neil Hilborn,,,What's Good,"""Most of the world is garbage, so let's talk about what's good.""",Hilborn - AT - Quote Image - When I say loving me is like a brick wall falling on your car in the parking lot of your own damn apartment complex -36.png,https://drive.google.com/file/d/16mMXxCiamNV2BAWbV31qARJcNnua_7Oe/view?usp=drivesdk,,,,QI,,,,,,,,28956,28956,20383,20383,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/file/d/16mMXxCiamNV2BAWbV31qARJcNnua_7Oe/view?usp=drivesdk
,Neil Hilborn,,,“History of Punk Rock”,"“Someone smashed a new ox cart into an old ox cart, and the stage-dive was born.”",Neil - The Future - Quote Image - I know you probably.png,https://drive.google.com/a/buttonpoetry.com/file/d/1Ix2l-ZwI3HUhhua8Q2VsRktsCW2kFA92/view?usp=drivesdk,,,,QI,,,,,,,,27976,27976,19836,19836,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1Ix2l-ZwI3HUhhua8Q2VsRktsCW2kFA92/view?usp=drivesdk
,Neil Hilborn,,,“Joey Forgets”,“Breathe too hard and you’ll make a cloud.”,Neil - The Future - Quote Image - Who am I to say.png,https://drive.google.com/a/buttonpoetry.com/file/d/1MHc6-DvFmuTqKl2MjwnwqyGvKiTpIY1f/view?usp=drivesdk,,,,QI,,,,,,,,28060,28060,19896,19896,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1MHc6-DvFmuTqKl2MjwnwqyGvKiTpIY1f/view?usp=drivesdk
,Neil Hilborn,,,"“Me, But Happy”","“The best part about being in love with you is that I never HAVE to brush my teeth, but gosh darn it do I want to.”",Neil - The Future - Quote Image - Have you ever smashed.png,https://drive.google.com/a/buttonpoetry.com/file/d/1_Hscd8jZ9AcLTGwjV2Yy6JEfKQ3y3ztB/view?usp=drivesdk,,,,QI,,,,,,,,28210,28210,19957,19957,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1_Hscd8jZ9AcLTGwjV2Yy6JEfKQ3y3ztB/view?usp=drivesdk
